t;ref;u_ml;omega_ml;u_mr;omega_mr
0.4402;0.0000;0.0000;0.0000;0.0000;0.0000
0.4502;0.0000;0.0000;0.0000;0.0000;0.0000
0.4602;0.0000;0.0000;0.0000;0.0000;0.0000
0.4702;0.0000;0.0000;0.0000;0.0000;0.0000
0.4802;0.0000;0.0000;0.0000;0.0000;0.0000
0.4902;0.0000;0.0000;0.0000;0.0000;0.0000
0.5002;0.0000;0.0000;0.0000;0.0000;0.0000
0.5102;0.0000;0.0000;0.0000;0.0000;0.0000
0.5202;0.0000;0.0000;0.0000;0.0000;0.0000
0.5303;0.0000;0.0000;0.0000;0.0000;0.0000
0.5403;0.0000;0.0000;0.0000;0.0000;0.0000
0.5503;0.0000;0.0000;0.0000;0.0000;0.0000
0.5603;0.0000;0.0000;0.0000;0.0000;0.0000
0.5703;0.0000;0.0000;0.0000;0.0000;0.0000
0.5803;0.0000;0.0000;0.0000;0.0000;0.0000
0.5903;0.0000;0.0000;0.0000;0.0000;0.0000
0.6003;0.0000;0.0000;0.0000;0.0000;0.0000
0.6103;0.0000;0.0000;0.0000;0.0000;0.0000
0.6203;0.0000;0.0000;0.0000;0.0000;0.0000
0.6303;0.0000;0.0000;0.0000;0.0000;0.0000
0.6403;0.0000;0.0000;0.0000;0.0000;0.0000
0.6503;0.0000;0.0000;0.0000;0.0000;0.0000
0.6603;0.0000;0.0000;0.0000;0.0000;0.0000
0.6703;0.0000;0.0000;0.0000;0.0000;0.0000
0.6803;0.0000;0.0000;0.0000;0.0000;0.0000
0.6903;0.0000;0.0000;0.0000;0.0000;0.0000
0.7004;0.0000;0.0000;0.0000;0.0000;0.0000
0.7104;0.0000;0.0000;0.0000;0.0000;0.0000
0.7204;0.0000;0.0000;0.0000;0.0000;0.0000
0.7304;0.0000;0.0000;0.0000;0.0000;0.0000
0.7404;0.0000;0.0000;0.0000;0.0000;0.0000
0.7504;0.0000;0.0000;0.0000;0.0000;0.0000
0.7604;0.0000;0.0000;0.0000;0.0000;0.0000
0.7704;0.0000;0.0000;0.0000;0.0000;0.0000
0.7804;0.0000;0.0000;0.0000;0.0000;0.0000
0.7904;0.0000;0.0000;0.0000;0.0000;0.0000
0.8004;0.0000;0.0000;0.0000;0.0000;0.0000
0.8104;0.0000;0.0000;0.0000;0.0000;0.0000
0.8204;0.0000;0.0000;0.0000;0.0000;0.0000
0.8304;0.0000;0.0000;0.0000;0.0000;0.0000
0.8404;0.0000;0.0000;0.0000;0.0000;0.0000
0.8504;0.0000;0.0000;0.0000;0.0000;0.0000
0.8604;0.0000;0.0000;0.0000;0.0000;0.0000
0.8704;0.0000;0.0000;0.0000;0.0000;0.0000
0.8804;0.0000;0.0000;0.0000;0.0000;0.0000
0.8904;0.0000;0.0000;0.0000;0.0000;0.0000
0.9004;0.0000;0.0000;0.0000;0.0000;0.0000
0.9104;0.0000;0.0000;0.0000;0.0000;0.0000
0.9204;0.0000;0.0000;0.0000;0.0000;0.0000
0.9304;0.0000;0.0000;0.0000;0.0000;0.0000
0.9404;0.0000;0.0000;0.0000;0.0000;0.0000
0.9504;0.0000;0.0000;0.0000;0.0000;0.0000
0.9604;0.0000;0.0000;0.0000;0.0000;0.0000
0.9704;0.0000;0.0000;0.0000;0.0000;0.0000
0.9804;0.0000;0.0000;0.0000;0.0000;0.0000
0.9904;0.0000;0.0000;0.0000;0.0000;0.0000
1.0004;0.0000;0.0000;0.0000;0.0000;0.0000
1.0104;0.0000;0.0000;0.0000;0.0000;0.0000
1.0204;0.0000;0.0000;0.0000;0.0000;0.0000
1.0304;0.0000;0.0000;0.0000;0.0000;0.0000
1.0405;0.0000;0.0000;0.0000;0.0000;0.0000
1.0505;0.0000;0.0000;0.0000;0.0000;0.0000
1.0605;0.0000;0.0000;0.0000;0.0000;0.0000
1.0705;0.0000;0.0000;0.0000;0.0000;0.0000
1.0805;0.0000;0.0000;0.0000;0.0000;0.0000
1.0905;0.0000;0.0000;0.0000;0.0000;0.0000
1.1005;0.0000;0.0000;0.0000;0.0000;0.0000
1.1105;0.0000;0.0000;0.0000;0.0000;0.0000
1.1205;0.0000;0.0000;0.0000;0.0000;0.0000
1.1305;0.0000;0.0000;0.0000;0.0000;0.0000
1.1405;0.0000;0.0000;0.0000;0.0000;0.0000
1.1505;0.0000;0.0000;0.0000;0.0000;0.0000
1.1605;0.0000;0.0000;0.0000;0.0000;0.0000
1.1705;0.0000;0.0000;0.0000;0.0000;0.0000
1.1805;0.0000;0.0000;0.0000;0.0000;0.0000
1.1905;0.0000;0.0000;0.0000;0.0000;0.0000
1.2005;0.0000;0.0000;0.0000;0.0000;0.0000
1.2105;0.0000;0.0000;0.0000;0.0000;0.0000
1.2205;0.0000;0.0000;0.0000;0.0000;0.0000
1.2305;0.0000;0.0000;0.0000;0.0000;0.0000
1.2405;0.0000;0.0000;0.0000;0.0000;0.0000
1.2505;0.0000;0.0000;0.0000;0.0000;0.0000
1.2605;0.0000;0.0000;0.0000;0.0000;0.0000
1.2705;0.0000;0.0000;0.0000;0.0000;0.0000
1.2805;0.0000;0.0000;0.0000;0.0000;0.0000
1.2905;0.0000;0.0000;0.0000;0.0000;0.0000
1.3005;0.0000;0.0000;0.0000;0.0000;0.0000
1.3105;0.0000;0.0000;0.0000;0.0000;0.0000
1.3205;0.0000;0.0000;0.0000;0.0000;0.0000
1.3305;0.0000;0.0000;0.0000;0.0000;0.0000
1.3405;0.0000;0.0000;0.0000;0.0000;0.0000
1.3505;0.0000;0.0000;0.0000;0.0000;0.0000
1.3605;0.0000;0.0000;0.0000;0.0000;0.0000
1.3705;0.0000;0.0000;0.0000;0.0000;0.0000
1.3806;0.0000;0.0000;0.0000;0.0000;0.0000
1.3906;0.0000;0.0000;0.0000;0.0000;0.0000
1.4006;0.0000;0.0000;0.0000;0.0000;0.0000
1.4106;0.0000;0.0000;0.0000;0.0000;0.0000
1.4206;0.0000;0.0000;0.0000;0.0000;0.0000
1.4306;0.0000;0.0000;0.0000;0.0000;0.0000
1.4406;0.0000;0.0000;0.0000;0.0000;0.0000
1.4506;0.0000;0.0000;0.0000;0.0000;0.0000
1.4606;0.0000;0.0000;0.0000;0.0000;0.0000
1.4706;0.0000;0.0000;0.0000;0.0000;0.0000
1.4806;0.0000;0.0000;0.0000;0.0000;0.0000
1.4906;0.0000;0.0000;0.0000;0.0000;0.0000
1.5006;0.0000;0.0000;0.0000;0.0000;0.0000
1.5106;0.0000;0.0000;0.0000;0.0000;0.0000
1.5206;0.0000;0.0000;0.0000;0.0000;0.0000
1.5306;0.0000;0.0000;0.0000;0.0000;0.0000
1.5406;0.0000;0.0000;0.0000;0.0000;0.0000
1.5506;0.0000;0.0000;0.0000;0.0000;0.0000
1.5606;0.0000;0.0000;0.0000;0.0000;0.0000
1.5706;0.0000;0.0000;0.0000;0.0000;0.0000
1.5806;0.0000;0.0000;0.0000;0.0000;0.0000
1.5906;0.0000;0.0000;0.0000;0.0000;0.0000
1.6006;0.0000;0.0000;0.0000;0.0000;0.0000
1.6106;0.0000;0.0000;0.0000;0.0000;0.0000
1.6206;0.0000;0.0000;0.0000;0.0000;0.0000
1.6306;0.0000;0.0000;0.0000;0.0000;0.0000
1.6406;0.0000;0.0000;0.0000;0.0000;0.0000
1.6506;0.0000;0.0000;0.0000;0.0000;0.0000
1.6606;0.0000;0.0000;0.0000;0.0000;0.0000
1.6706;0.0000;0.0000;0.0000;0.0000;0.0000
1.6806;0.0000;0.0000;0.0000;0.0000;0.0000
1.6906;0.0000;0.0000;0.0000;0.0000;0.0000
1.7006;0.0000;0.0000;0.0000;0.0000;0.0000
1.7106;0.0000;0.0000;0.0000;0.0000;0.0000
1.7206;0.0000;0.0000;0.0000;0.0000;0.0000
1.7306;0.0000;0.0000;0.0000;0.0000;0.0000
1.7406;0.0000;0.0000;0.0000;0.0000;0.0000
1.7506;0.0000;0.0000;0.0000;0.0000;0.0000
1.7606;0.0000;0.0000;0.0000;0.0000;0.0000
1.7706;0.0000;0.0000;0.0000;0.0000;0.0000
1.7806;0.0000;0.0000;0.0000;0.0000;0.0000
1.7906;0.0000;0.0000;0.0000;0.0000;0.0000
1.8006;0.0000;0.0000;0.0000;0.0000;0.0000
1.8106;0.0000;0.0000;0.0000;0.0000;0.0000
1.8206;0.0000;0.0000;0.0000;0.0000;0.0000
1.8307;0.0000;0.0000;0.0000;0.0000;0.0000
1.8407;0.0000;0.0000;0.0000;0.0000;0.0000
1.8507;0.0000;0.0000;0.0000;0.0000;0.0000
1.8607;0.0000;0.0000;0.0000;0.0000;0.0000
1.8707;0.0000;0.0000;0.0000;0.0000;0.0000
1.8807;0.0000;0.0000;0.0000;0.0000;0.0000
1.8907;0.0000;0.0000;0.0000;0.0000;0.0000
1.9007;0.0000;0.0000;0.0000;0.0000;0.0000
1.9107;0.0000;0.0000;0.0000;0.0000;0.0000
1.9207;0.0000;0.0000;0.0000;0.0000;0.0000
1.9307;0.0000;0.0000;0.0000;0.0000;0.0000
1.9407;0.0000;0.0000;0.0000;0.0000;0.0000
1.9507;0.0000;0.0000;0.0000;0.0000;0.0000
1.9607;0.0000;0.0000;0.0000;0.0000;0.0000
1.9707;0.0000;0.0000;0.0000;0.0000;0.0000
1.9807;0.0000;0.0000;0.0000;0.0000;0.0000
1.9907;0.0000;0.0000;0.0000;0.0000;0.0000
2.0008;0.0000;0.0000;0.0000;0.0000;0.0000
2.0108;0.0000;0.0000;0.0000;0.0000;0.0000
2.0208;0.0000;0.0000;0.0000;0.0000;0.0000
2.0308;0.0000;0.0000;0.0000;0.0000;0.0000
2.0408;0.0000;0.0000;0.0000;0.0000;0.0000
2.0508;0.0000;0.0000;0.0000;0.0000;0.0000
2.0608;0.0000;0.0000;0.0000;0.0000;0.0000
2.0708;0.0000;0.0000;0.0000;0.0000;0.0000
2.0808;0.0000;0.0000;0.0000;0.0000;0.0000
2.0908;0.0000;0.0000;0.0000;0.0000;0.0000
2.1008;0.0000;0.0000;0.0000;0.0000;0.0000
2.1108;0.0000;0.0000;0.0000;0.0000;0.0000
2.1208;0.0000;0.0000;0.0000;0.0000;0.0000
2.1308;0.0000;0.0000;0.0000;0.0000;0.0000
2.1408;0.0000;0.0000;0.0000;0.0000;0.0000
2.1508;0.0000;0.0000;0.0000;0.0000;0.0000
2.1608;0.0000;0.0000;0.0000;0.0000;0.0000
2.1708;0.0000;0.0000;0.0000;0.0000;0.0000
2.1808;0.0000;0.0000;0.0000;0.0000;0.0000
2.1908;0.0000;0.0000;0.0000;0.0000;0.0000
2.2008;0.0000;0.0000;0.0000;0.0000;0.0000
2.2108;0.0000;0.0000;0.0000;0.0000;0.0000
2.2208;0.0000;0.0000;0.0000;0.0000;0.0000
2.2308;0.0000;0.0000;0.0000;0.0000;0.0000
2.2408;0.0000;0.0000;0.0000;0.0000;0.0000
2.2508;0.0000;0.0000;0.0000;0.0000;0.0000
2.2609;0.0000;0.0000;0.0000;0.0000;0.0000
2.2709;0.0000;0.0000;0.0000;0.0000;0.0000
2.2809;0.0000;0.0000;0.0000;0.0000;0.0000
2.2909;0.0000;0.0000;0.0000;0.0000;0.0000
2.3009;0.0000;0.0000;0.0000;0.0000;0.0000
2.3109;0.0000;0.0000;0.0000;0.0000;0.0000
2.3209;0.0000;0.0000;0.0000;0.0000;0.0000
2.3309;0.0000;0.0000;0.0000;0.0000;0.0000
2.3409;0.0000;0.0000;0.0000;0.0000;0.0000
2.3509;0.0000;0.0000;0.0000;0.0000;0.0000
2.3609;0.0000;0.0000;0.0000;0.0000;0.0000
2.3709;0.0000;0.0000;0.0000;0.0000;0.0000
2.3809;0.0000;0.0000;0.0000;0.0000;0.0000
2.3909;0.0000;0.0000;0.0000;0.0000;0.0000
2.4009;0.0000;0.0000;0.0000;0.0000;0.0000
2.4110;0.0000;0.0000;0.0000;0.0000;0.0000
2.4210;0.0000;0.0000;0.0000;0.0000;0.0000
2.4310;0.0000;0.0000;0.0000;0.0000;0.0000
2.4410;0.0000;0.0000;0.0000;0.0000;0.0000
2.4510;0.0000;0.0000;0.0000;0.0000;0.0000
2.4610;0.0000;0.0000;0.0000;0.0000;0.0000
2.4710;0.0000;0.0000;0.0000;0.0000;0.0000
2.4810;0.0000;0.0000;0.0000;0.0000;0.0000
2.4910;0.0000;0.0000;0.0000;0.0000;0.0000
2.5010;0.0000;0.0000;0.0000;0.0000;0.0000
2.5110;0.0000;0.0000;0.0000;0.0000;0.0000
2.5210;0.0000;0.0000;0.0000;0.0000;0.0000
2.5310;0.0000;0.0000;0.0000;0.0000;0.0000
2.5410;0.0000;0.0000;0.0000;0.0000;0.0000
2.5510;0.0000;0.0000;0.0000;0.0000;0.0000
2.5610;0.0000;0.0000;0.0000;0.0000;0.0000
2.5710;0.0000;0.0000;0.0000;0.0000;0.0000
2.5810;0.0000;0.0000;0.0000;0.0000;0.0000
2.5911;0.0000;0.0000;0.0000;0.0000;0.0000
2.6011;0.0000;0.0000;0.0000;0.0000;0.0000
2.6111;0.0000;0.0000;0.0000;0.0000;0.0000
2.6211;0.0000;0.0000;0.0000;0.0000;0.0000
2.6311;0.0000;0.0000;0.0000;0.0000;0.0000
2.6411;0.0000;0.0000;0.0000;0.0000;0.0000
2.6511;0.0000;0.0000;0.0000;0.0000;0.0000
2.6611;0.0000;0.0000;0.0000;0.0000;0.0000
2.6711;0.0000;0.0000;0.0000;0.0000;0.0000
2.6811;0.0000;0.0000;0.0000;0.0000;0.0000
2.6911;0.0000;0.0000;0.0000;0.0000;0.0000
2.7011;0.0000;0.0000;0.0000;0.0000;0.0000
2.7111;0.0000;0.0000;0.0000;0.0000;0.0000
2.7211;0.0000;0.0000;0.0000;0.0000;0.0000
2.7311;0.0000;0.0000;0.0000;0.0000;0.0000
2.7411;0.0000;0.0000;0.0000;0.0000;0.0000
2.7511;0.0000;0.0000;0.0000;0.0000;0.0000
2.7611;0.0000;0.0000;0.0000;0.0000;0.0000
2.7711;0.0000;0.0000;0.0000;0.0000;0.0000
2.7811;0.0000;0.0000;0.0000;0.0000;0.0000
2.7911;0.0000;0.0000;0.0000;0.0000;0.0000
2.8011;0.0000;0.0000;0.0000;0.0000;0.0000
2.8111;0.0000;0.0000;0.0000;0.0000;0.0000
2.8212;0.0000;0.0000;0.0000;0.0000;0.0000
2.8312;0.0000;0.0000;0.0000;0.0000;0.0000
2.8412;0.0000;0.0000;0.0000;0.0000;0.0000
2.8512;0.0000;0.0000;0.0000;0.0000;0.0000
2.8612;0.0000;0.0000;0.0000;0.0000;0.0000
2.8712;0.0000;0.0000;0.0000;0.0000;0.0000
2.8812;0.0000;0.0000;0.0000;0.0000;0.0000
2.8912;0.0000;0.0000;0.0000;0.0000;0.0000
2.9012;0.0000;0.0000;0.0000;0.0000;0.0000
2.9112;0.0000;0.0000;0.0000;0.0000;0.0000
2.9212;0.0000;0.0000;0.0000;0.0000;0.0000
2.9312;0.0000;0.0000;0.0000;0.0000;0.0000
2.9412;0.0000;0.0000;0.0000;0.0000;0.0000
2.9512;0.0000;0.0000;0.0000;0.0000;0.0000
2.9612;0.0000;0.0000;0.0000;0.0000;0.0000
2.9712;0.0000;0.0000;0.0000;0.0000;0.0000
2.9812;0.0000;0.0000;0.0000;0.0000;0.0000
2.9912;0.0000;0.0000;0.0000;0.0000;0.0000
3.0012;0.0000;0.0000;0.0000;0.0000;0.0000
3.0112;6.2832;29.4524;0.0000;29.4524;0.0000
3.0212;6.2832;28.3304;1.4960;28.3304;1.4960
3.0312;6.2832;25.8059;2.9920;25.8059;2.9920
3.0412;6.2832;18.3727;5.2360;18.3727;5.2360
3.0512;6.2832;12.3420;6.7320;8.8357;7.4800
3.0612;6.2832;4.9087;8.2280;7.7137;7.4800
3.0712;6.2832;6.5917;7.4800;6.5917;7.4800
3.0812;6.2832;8.9760;6.7320;8.9760;6.7320
3.0912;6.2832;8.5552;6.7320;5.0490;7.4800
3.1013;6.2832;4.6282;7.4800;7.4332;6.7320
3.1113;6.2832;7.0125;6.7320;3.5062;7.4800
3.1213;6.2832;6.5917;6.7320;5.8905;6.7320
3.1313;6.2832;6.1710;6.7320;8.9760;5.9840
3.1413;6.2832;5.7503;6.7320;5.7502;6.7320
3.1513;6.2832;8.8357;5.9840;8.8357;5.9840
3.1613;6.2832;9.1162;5.9840;9.1162;5.9840
3.1713;6.2832;5.8905;6.7320;9.3967;5.9840
3.1813;6.2832;8.9760;5.9840;9.6772;5.9840
3.1913;6.2832;5.7502;6.7320;6.4515;6.7320
3.2013;6.2832;8.8357;5.9840;6.0307;6.7320
3.2113;6.2832;12.6225;5.2360;9.1162;5.9840
3.2213;6.2832;10.0980;5.9840;9.3967;5.9840
3.2313;6.2832;6.8722;6.7320;9.6772;5.9840
3.2413;6.2832;9.9577;5.9840;6.4515;6.7320
3.2513;6.2832;10.2382;5.9840;9.5370;5.9840
3.2613;6.2832;10.5187;5.9840;9.8175;5.9840
3.2713;6.2832;3.7867;7.4800;10.0980;5.9840
3.2813;6.2832;9.6772;5.9840;6.8722;6.7320
3.2913;6.2832;6.4515;6.7320;9.9577;5.9840
3.3013;6.2832;9.5370;5.9840;6.7320;6.7320
3.3113;6.2832;6.3112;6.7320;6.3112;6.7320
3.3213;6.2832;9.3967;5.9840;9.3967;5.9840
3.3313;6.2832;9.6772;5.9840;9.6772;5.9840
3.3413;6.2832;9.9577;5.9840;9.9577;5.9840
3.3514;6.2832;6.7321;6.7320;6.7321;6.7320
3.3614;6.2832;6.3112;6.7320;6.3112;6.7320
3.3714;6.2832;9.3967;5.9840;9.3967;5.9840
3.3814;6.2832;9.6773;5.9840;9.6773;5.9840
3.3914;6.2832;6.4515;6.7320;6.4515;6.7320
3.4014;6.2832;9.5369;5.9840;9.5369;5.9840
3.4114;6.2832;9.8175;5.9840;9.8175;5.9840
3.4214;6.2832;6.5917;6.7320;6.5917;6.7320
3.4314;6.2832;6.1710;6.7320;9.6772;5.9840
3.4414;6.2832;9.2564;5.9840;9.9578;5.9840
3.4514;6.2832;9.5370;5.9840;10.2382;5.9840
3.4614;6.2832;6.3112;6.7320;7.0125;6.7320
3.4714;6.2832;9.3967;5.9840;6.5917;6.7320
3.4814;6.2832;9.6773;5.9840;9.6773;5.9840
3.4914;6.2832;6.4515;6.7320;6.4515;6.7320
3.5014;6.2832;9.5369;5.9840;9.5369;5.9840
3.5114;6.2832;9.8175;5.9840;6.3112;6.7320
3.5214;6.2832;6.5917;6.7320;9.3968;5.9840
3.5314;6.2832;9.6772;5.9840;9.6772;5.9840
3.5414;6.2832;6.4515;6.7320;9.9578;5.9840
3.5514;6.2832;9.5370;5.9840;6.7320;6.7320
3.5615;6.2832;6.3112;6.7320;6.3112;6.7320
3.5714;6.2832;9.3967;5.9840;9.3967;5.9840
3.5815;6.2832;9.6773;5.9840;9.6773;5.9840
3.5915;6.2832;6.4515;6.7320;6.4515;6.7320
3.6015;6.2832;9.5369;5.9840;9.5369;5.9840
3.6115;6.2832;9.8175;5.9840;6.3112;6.7320
3.6215;6.2832;6.5917;6.7320;9.3968;5.9840
3.6315;6.2832;6.1710;6.7320;9.6772;5.9840
3.6415;6.2832;9.2564;5.9840;9.9578;5.9840
3.6515;6.2832;9.5370;5.9840;10.2382;5.9840
3.6615;6.2832;6.3111;6.7320;7.0125;6.7320
3.6715;6.2832;9.3968;5.9840;6.5917;6.7320
3.6815;6.2832;9.6773;5.9840;9.6773;5.9840
3.6915;6.2832;6.4515;6.7320;6.4515;6.7320
3.7015;6.2832;9.5371;5.9840;9.5371;5.9840
3.7115;6.2832;6.3113;6.7320;6.3113;6.7320
3.7215;6.2832;9.3966;5.9840;9.3966;5.9840
3.7315;6.2832;6.1712;6.7319;6.1712;6.7319
3.7415;6.2832;9.2564;5.9840;9.2564;5.9840
3.7515;6.2832;9.5370;5.9840;9.5370;5.9840
3.7615;6.2832;6.3112;6.7320;6.3112;6.7320
3.7715;6.2832;9.3968;5.9840;9.3968;5.9840
3.7816;6.2832;6.1710;6.7320;6.1710;6.7320
3.7916;6.2832;9.2563;5.9840;9.2563;5.9840
3.8016;6.2832;6.0309;6.7319;9.5370;5.9840
3.8116;6.2832;9.1161;5.9840;6.3112;6.7320
3.8216;6.2832;9.3968;5.9840;9.3968;5.9840
3.8316;6.2832;6.1710;6.7320;6.1710;6.7320
3.8416;6.2832;9.2566;5.9840;9.2566;5.9840
3.8516;6.2832;6.0308;6.7320;9.5368;5.9840
3.8616;6.2832;9.1163;5.9840;6.3114;6.7319
3.8716;6.2832;5.8905;6.7320;9.3966;5.9840
3.8816;6.2832;8.9759;5.9840;9.6773;5.9840
3.8916;6.2832;5.7502;6.7320;6.4515;6.7320
3.9016;6.2832;8.8358;5.9840;9.5371;5.9840
3.9116;6.2832;9.1163;5.9840;6.3113;6.7320
3.9216;6.2832;9.3968;5.9840;9.3968;5.9840
3.9316;6.2832;9.6771;5.9840;9.6771;5.9840
3.9416;6.2832;9.9578;5.9840;6.4515;6.7320
3.9516;6.2832;10.2383;5.9840;9.5371;5.9840
3.9616;6.2832;7.0125;6.7320;9.8176;5.9840
3.9716;6.2832;6.5918;6.7320;6.5918;6.7320
3.9816;6.2832;6.1710;6.7320;9.6773;5.9840
3.9916;6.2832;9.2566;5.9840;9.9576;5.9840
4.0016;6.2832;9.5369;5.9840;6.7320;6.7320
4.0116;6.2832;6.3112;6.7320;9.8176;5.9840
4.0216;6.2832;9.3968;5.9840;6.5917;6.7320
4.0316;6.2832;6.1710;6.7320;9.6773;5.9840
4.0416;6.2832;5.7502;6.7320;9.9578;5.9840
4.0516;6.2832;8.8358;5.9840;6.7320;6.7320
4.0616;6.2832;9.1163;5.9840;9.8174;5.9840
4.0716;6.2832;9.3966;5.9840;6.5917;6.7320
4.0816;6.2832;6.1710;6.7320;9.6773;5.9840
4.0916;6.2832;9.2566;5.9840;9.9578;5.9840
4.1017;6.2832;6.0307;6.7320;10.2381;5.9840
4.1117;6.2832;9.1163;5.9840;7.0127;6.7319
4.1217;6.2832;9.3968;5.9840;6.5918;6.7320
4.1317;6.2832;6.1710;6.7320;6.1710;6.7320
4.1417;6.2832;9.2564;5.9840;5.7503;6.7320
4.1517;6.2832;9.5371;5.9840;12.3419;5.2360
4.1617;6.2832;6.3112;6.7320;6.3112;6.7320
4.1717;6.2832;9.3968;5.9840;9.3968;5.9840
4.1817;6.2832;6.1710;6.7320;9.6773;5.9840
4.1917;6.2832;9.2566;5.9840;6.4515;6.7320
4.2017;6.2832;6.0308;6.7320;9.5369;5.9840
4.2117;6.2832;9.1161;5.9840;6.3112;6.7320
4.2217;6.2832;9.3968;5.9840;9.3968;5.9840
4.2317;6.2832;6.1710;6.7320;6.1710;6.7320
4.2417;6.2832;9.2566;5.9840;5.7502;6.7320
4.2517;6.2832;9.5371;5.9840;8.8358;5.9840
4.2617;6.2832;6.3113;6.7320;9.1163;5.9840
4.2717;6.2832;9.3966;5.9840;9.3966;5.9840
4.2817;6.2832;6.1710;6.7320;9.6773;5.9840
4.2917;6.2832;9.2566;5.9840;9.9576;5.9840
4.3018;6.2832;6.0307;6.7320;10.2385;5.9839
4.3118;6.2832;9.1161;5.9840;7.0125;6.7320
4.3218;6.2832;9.3970;5.9839;6.5918;6.7320
4.3318;6.2832;6.1710;6.7320;9.6771;5.9840
4.3418;6.2832;9.2564;5.9840;6.4515;6.7320
4.3518;6.2832;6.0307;6.7320;9.5373;5.9839
4.3618;6.2832;9.1165;5.9839;6.3113;6.7320
4.3718;6.2832;9.3966;5.9840;9.3966;5.9840
4.3818;6.2832;9.6771;5.9840;9.6771;5.9840
4.3918;6.2832;6.4515;6.7320;9.9580;5.9839
4.4018;6.2832;6.0307;6.7320;6.7320;6.7320
4.4118;6.2832;9.1165;5.9839;6.3113;6.7320
4.4218;6.2832;9.3966;5.9840;9.3966;5.9840
4.4318;6.2832;9.6771;5.9840;9.6771;5.9840
4.4418;6.2832;6.4515;6.7320;6.4515;6.7320
4.4518;6.2832;6.0312;6.7319;9.5373;5.9839
4.4618;6.2832;9.1162;5.9840;9.8174;5.9840
4.4718;6.2832;9.3966;5.9840;6.5917;6.7320
4.4818;6.2832;9.6775;5.9839;9.6775;5.9839
4.4918;6.2832;6.4515;6.7320;9.9576;5.9840
4.5018;6.2832;9.5369;5.9840;10.2381;5.9840
4.5118;6.2832;9.8174;5.9840;7.0125;6.7320
4.5218;6.2832;6.5917;6.7320;6.5917;6.7320
4.5318;6.2832;6.1710;6.7320;9.6775;5.9839
4.5418;6.2832;9.2568;5.9839;9.9576;5.9840
4.5518;6.2832;9.5369;5.9840;6.7320;6.7320
4.5618;6.2832;6.3113;6.7320;6.3113;6.7320
4.5718;6.2832;9.3970;5.9839;9.3970;5.9839
4.5819;6.2832;9.6772;5.9840;9.6772;5.9840
4.5919;6.2832;6.4515;6.7320;9.9576;5.9840
4.6019;6.2832;9.5369;5.9840;6.7320;6.7320
4.6119;6.2832;6.3112;6.7320;6.3112;6.7320
4.6219;6.2832;9.3970;5.9839;9.3970;5.9839
4.6319;6.2832;6.1710;6.7320;9.6771;5.9840
